card_id,total_amount,transaction_count,unique_merchants,unique_cities,weekend_ratio,avg_hour,has_foreign_txn,cluster,auto_spending_ratio,cosmetic_spending_ratio,fashion_spending_ratio,beauty_salons_spending_ratio,construction_spending_ratio,book_and_sports_spending_ratio,tax_payment_spending_ratio,travel_spending_ratio,incoming_transfer_spending_ratio,outgoing_transfer_spending_ratio,ecom_spending_ratio,pos_spending_ratio,cash_withdrawal_spending_ratio,salary_spending_ratio,cluster_label
10000,170335602.51,7955.0,487.0,6.0,0.39736015084852294,13.533375235700817,True,3,0.011513161964392431,0.0010353902378667202,0.00730477505386434,0.0019161396982808607,0.3530229869969185,0.0008135981436521119,0.002057539027869553,0.021030296116689388,0.03696796986191023,0.03690231212603353,0.14780173950141742,0.40643823434349624,0.14981600806855302,0.022409313988107138,Покупатель в магазинах
10001,28763166.49,850.0,153.0,6.0,0.43176470588235294,13.282352941176471,False,7,0.44809552433946925,0.056852039241525106,0.003353703078328912,0.002158356939650006,0.038652147717690315,3.669380422238762e-05,0.004038084959817649,0.0020657398767502666,0.04121665500257653,0.0557181140177032,0.3763171802994351,0.29276146987945906,0.19312894503222688,0.02184554333468311,Покупатель в магазинах
10002,19637670.01,1731.0,300.0,6.0,0.36279607163489314,13.592720970537261,True,1,0.023129407906778445,0.0008706200883961182,0.011513292049661037,0.004148721307492833,0.31922175170515554,0.001598453889082333,0.13077986332860267,0.023279148176296297,0.0,0.0,0.6537574831159921,0.03323821612582439,0.11997349985004661,0.09072547807824172,Путешественник
10003,21464554.04,4852.0,394.0,6.0,0.3794311624072547,13.537922506183017,False,7,0.012449246301694887,0.0678685682118183,0.04557929217522192,0.0021057395329886854,0.04780527459772931,0.000966096475210067,0.0018354711645339175,0.024847281196996165,0.15129383419512218,0.1442686656442642,0.06579042580471893,0.22017065023541485,0.3631568578351885,0.030287701239377813,Покупатель в магазинах
10004,9788625.41,353.0,64.0,6.0,0.41076487252124644,13.507082152974505,False,4,0.0036508047354117724,0.0,0.009474559104616916,0.0032911250201778843,0.06780155560166645,0.0,0.0009573642475302363,0.001414121944625522,0.019757779248802617,0.02549816542627306,0.04126334118244698,0.09427853568257037,0.3295661918684045,0.41110307437946997,Обычный клиент
10005,32180153.58,1640.0,274.0,6.0,0.3951219512195122,13.28048780487805,False,3,0.06449499455744985,0.0009567626805589658,0.007636417563672796,0.0013362910121947282,0.3983805452677395,0.0003070895847477183,0.0020652940587985846,0.027787423629816,0.03315153351732388,0.039218815002311745,0.1519008309841634,0.4427648862700052,0.14962638347980192,0.013829828341049205,Покупатель в магазинах
10006,10099244.11,337.0,55.0,5.0,0.41543026706231456,13.332344213649852,False,4,0.05774866055792369,0.0,0.00268799622073894,0.004704362968408336,0.05817009704897608,0.0,0.0,0.0,0.01724186959968433,0.025643508284304655,0.04891522223042889,0.10721503393782211,0.28635806487105503,0.44455237947506154,Обычный клиент
10007,2324691.18,72.0,13.0,5.0,0.3611111111111111,14.055555555555555,False,4,0.029210718646938725,0.0,0.0,0.0,0.005771872029901193,0.0,0.0,0.0,0.08505002371970972,0.07433472518272298,0.019804372467228097,0.10627752284929302,0.31617102792982593,0.36716618849992794,Обычный клиент
10008,4431242.36,173.0,30.0,5.0,0.31213872832369943,13.658959537572255,False,4,0.0008297853516637712,0.0,0.053671939081210616,0.0,0.04716311883243506,0.0,0.0,0.0,0.03655295893136389,0.014660628943798054,0.02666744456739667,0.14501540827480264,0.3075886826465524,0.40354551945563183,Обычный клиент
10009,273629041.51,11470.0,500.0,6.0,0.3900610287707062,13.500959023539668,True,1,0.03416461461258437,0.002300778881239447,0.01045401081776424,0.0018164049665825987,0.05247625219443396,0.0007657767203498472,0.00259230605086952,0.03239155595871239,0.08824808432886141,0.07812122054748633,0.276681819817847,0.3663579853103291,0.13761331689137926,0.015475060602605114,Путешественник
10010,26554979.25,3895.0,442.0,6.0,0.4246469833119384,13.430551989730423,False,3,0.08755668750899137,0.0018226935726187773,0.009797477058845752,0.0037071021247361735,0.26548911349648296,0.016613882686426877,0.005476210266667785,0.026944484620525545,0.025280238168515982,0.030335946882730103,0.015178611747550133,0.6165264038005226,0.1918284308205588,0.01863514918769895,Покупатель в магазинах
10011,47107079.92,2942.0,406.0,6.0,0.38579197824609107,13.735214140040789,False,3,0.015857484931534684,0.001491887209297434,0.06292555482178144,0.0018227185838268361,0.6387843080297642,0.0013755051281047436,0.002143901939400875,0.01763703187314863,0.009951036464074676,0.00728490007410334,0.011794405871549509,0.8211249388773405,0.08557100136212391,0.0077604046062891684,Покупатель в магазинах
10012,108904959.05,3449.0,398.0,6.0,0.4035952449985503,13.365323282110756,True,8,0.02054984565920922,0.0014038019143812349,0.004754687982227381,0.0011656003648256273,0.02664725302975081,0.0017722578630362195,0.0015871903493452533,0.3399041579273244,0.03630508091174017,0.04041457843971339,0.1796838103673113,0.36739452361972125,0.10371428535971705,0.013812245219332829,Покупатель в магазинах
