card_id,total_amount,avg_amount,transaction_count,activity_days,unique_merchants,unique_cities,weekend_ratio,avg_hour,auto_spending_ratio,cash_withdrawal_ratio,incoming_transfer_ratio,cluster,cluster_label
10000,170335602.51,21412.395035826525,7955.0,508.0,487.0,6.0,0.39736015084852294,13.533375235700817,0.011513161964392431,0.14981600806855302,0.03696796986191023,7,Неопределенный клиент
10001,28763166.49,33839.0194,850.0,113.0,153.0,6.0,0.43176470588235294,13.282352941176471,0.44809552433946925,0.19312894503222688,0.04121665500257653,0,Автолюбитель
10002,19637670.01,11344.696712882727,1731.0,352.0,300.0,6.0,0.36279607163489314,13.592720970537261,0.023129407906778445,0.11997349985004661,0.0,1,Обычный клиент
10003,21464554.04,4423.856974443528,4852.0,514.0,394.0,6.0,0.3794311624072547,13.537922506183017,0.012449246301694887,0.3631568578351885,0.15129383419512218,5,Неопределенный клиент
10004,9788625.41,27729.81702549575,353.0,544.0,64.0,6.0,0.41076487252124644,13.507082152974505,0.0036508047354117724,0.3295661918684045,0.019757779248802617,2,Неопределенный клиент
10005,32180153.58,19622.04486585366,1640.0,91.0,274.0,6.0,0.3951219512195122,13.28048780487805,0.06449499455744985,0.14962638347980192,0.03315153351732388,0,Автолюбитель
10006,10099244.11,29968.083412462907,337.0,598.0,55.0,5.0,0.41543026706231456,13.332344213649852,0.05774866055792369,0.28635806487105503,0.01724186959968433,2,Неопределенный клиент
10007,2324691.18,32287.377500000002,72.0,126.0,13.0,5.0,0.3611111111111111,14.055555555555555,0.029210718646938725,0.31617102792982593,0.08505002371970972,2,Неопределенный клиент
10008,4431242.36,25614.117687861275,173.0,245.0,30.0,5.0,0.31213872832369943,13.658959537572255,0.0008297853516637712,0.3075886826465524,0.03655295893136389,2,Неопределенный клиент
10009,273629041.51,23856.062904097646,11470.0,446.0,500.0,6.0,0.3900610287707062,13.500959023539668,0.03416461461258437,0.13761331689137926,0.08824808432886141,7,Неопределенный клиент
10010,26554979.25,6817.709691912709,3895.0,74.0,442.0,6.0,0.4246469833119384,13.430551989730423,0.08755668750899137,0.1918284308205588,0.025280238168515982,1,Обычный клиент
10011,47107079.92,16011.923834126444,2942.0,57.0,406.0,6.0,0.38579197824609107,13.735214140040789,0.015857484931534684,0.08557100136212391,0.009951036464074676,1,Обычный клиент
10012,108904959.05,31575.80720498695,3449.0,181.0,398.0,6.0,0.4035952449985503,13.365323282110756,0.02054984565920922,0.10371428535971705,0.03630508091174017,7,Неопределенный клиент
10013,147751268.67,20379.4853337931,7250.0,613.0,484.0,6.0,0.3849655172413793,13.548,0.017204283948839817,0.16114920849295203,0.04229924146342696,7,Неопределенный клиент
